NGANo: csz027-A00692-EW 
Zeta: 0.050000 
Ds5-95: 113.840000 
Comments:  
Period, SD, SV, SA
0.010000 0.000104 0.006419 41.126340  
0.020000 0.000412 0.039441 40.160239  
0.030000 0.000933 0.074681 41.118153  
0.040000 0.001696 0.142194 41.337439  
0.050000 0.002785 0.165333 44.262395  
0.060000 0.003872 0.249126 42.141010  
0.070000 0.005526 0.355648 44.969612  
0.080000 0.008090 0.400798 48.868490  
0.090000 0.014228 0.709679 68.665725  
0.100000 0.017242 0.853933 67.052690  
0.110000 0.017955 0.866860 59.502671  
0.120000 0.027525 1.148793 76.533799  
0.130000 0.037436 1.373686 88.157086  
0.140000 0.045553 1.633334 90.603672  
0.150000 0.049731 1.687754 88.283294  
0.160000 0.057626 1.913376 90.110526  
0.170000 0.063408 2.030771 86.219902  
0.180000 0.079908 2.565653 99.318739  
0.190000 0.089542 2.744823 99.321652  
0.200000 0.117142 3.181815 115.405197  
0.210000 0.114909 3.402247 105.141922  
0.220000 0.133555 3.732186 109.596025  
0.230000 0.160310 4.293475 120.272383  
0.240000 0.154079 4.135864 106.717159  
0.250000 0.163982 4.245294 104.859425  
0.260000 0.195146 4.757864 114.271709  
0.270000 0.199894 4.781542 107.754291  
0.280000 0.211850 4.553990 107.745395  
0.290000 0.251223 5.265775 118.677090  
0.300000 0.271356 5.464212 120.697353  
0.310000 0.323454 6.059614 132.078525  
0.320000 0.346673 6.359917 134.455936  
0.330000 0.364898 6.657961 134.014313  
0.340000 0.351559 6.407994 120.835310  
0.350000 0.357462 6.452842 115.250806  
0.360000 0.366336 6.414010 112.052871  
0.370000 0.342488 5.875071 98.748606  
0.380000 0.381333 6.308460 105.203110  
0.390000 0.427381 6.690935 111.638540  
0.400000 0.460115 6.867217 114.149400  
0.410000 0.480283 7.072112 114.103045  
0.420000 0.544261 7.793550 121.694146  
0.430000 0.591617 8.334655 127.027605  
0.440000 0.607775 8.448685 125.436319  
0.450000 0.598784 8.198888 117.393526  
0.460000 0.556708 7.566156 103.636463  
0.470000 0.492217 6.722210 89.003510  
0.480000 0.499283 6.488956 85.756529  
0.490000 0.537454 6.826675 88.138473  
0.500000 0.564315 6.998518 89.250577  
0.510000 0.618653 7.113985 94.381884  
0.520000 0.701174 7.939731 102.399562  
0.530000 0.766068 8.403884 107.913689  
0.540000 0.811369 8.712390 110.562164  
0.550000 0.840876 9.300134 110.726014  
0.560000 0.841352 9.561993 106.915870  
0.570000 0.812431 9.424745 99.639823  
0.580000 0.761650 8.907999 90.269856  
0.590000 0.704415 8.277738 80.626936  
0.600000 0.690603 7.599074 75.894033  
0.610000 0.692222 7.196960 73.464692  
0.620000 0.697426 7.182066 72.367712  
0.630000 0.719005 7.407740 71.765751  
0.640000 0.740730 7.725431 72.053232  
0.650000 0.752658 8.007745 70.498366  
0.660000 0.796904 8.041983 72.380076  
0.670000 0.860952 8.454380 76.065358  
0.680000 0.885526 8.532388 76.354525  
0.690000 0.898255 8.513587 74.643160  
0.700000 0.902372 8.437059 73.373360  
0.710000 0.919217 8.411811 72.404758  
0.720000 0.945492 8.534054 72.286666  
0.730000 0.982003 8.781609 73.391167  
0.740000 1.047389 9.060305 76.127757  
0.750000 1.129291 9.398737 79.747032  
0.760000 1.184210 9.769370 81.681180  
0.770000 1.204043 9.821334 80.468240  
0.780000 1.176530 10.056523 77.040921  
0.790000 1.125415 9.979811 71.546940  
0.800000 1.058758 9.756081 65.791471  
0.810000 0.983925 9.350109 59.504524  
0.820000 0.905520 8.920662 53.566429  
0.830000 0.831963 8.442099 47.884660  
0.840000 0.837999 7.995355 47.221951  
0.850000 0.847103 7.636618 46.463609  
0.860000 0.851589 7.390189 45.729565  
0.870000 0.858570 7.417871 45.065261  
0.880000 0.863372 7.222797 44.431735  
0.890000 0.855904 7.029232 42.898427  
0.900000 0.863021 6.972613 42.370248  
0.910000 0.860359 6.874438 41.243765  
0.920000 0.846047 6.721714 39.647867  
0.930000 0.817183 6.530038 37.585792  
0.940000 0.846794 6.332457 38.076456  
0.950000 0.888794 6.267044 39.206555  
0.960000 0.905584 6.097132 39.039561  
0.970000 0.908218 6.061060 38.432927  
0.980000 0.903725 6.273389 37.387206  
0.990000 0.896078 6.432272 36.440389  
1.000000 0.895276 6.581428 35.622119  
1.010000 0.891774 6.733503 34.726354  
1.020000 0.882819 6.910837 33.788361  
1.030000 0.864600 7.032734 32.393965  
1.040000 0.830653 7.060437 30.591645  
1.050000 0.786666 6.976579 28.381332  
1.060000 0.729321 6.784736 25.833599  
1.070000 0.700414 6.509238 24.301596  
1.080000 0.677321 6.191195 23.139236  
1.090000 0.649060 5.872636 21.747684  
1.100000 0.618317 5.586527 20.375505  
1.110000 0.590495 5.330628 19.140937  
1.120000 0.571553 5.100175 18.103656  
1.130000 0.560026 4.897779 17.479933  
1.140000 0.579848 4.845772 17.770756  
1.150000 0.594091 4.816195 17.882417  
1.160000 0.602529 4.755025 17.826720  
1.170000 0.607119 4.677994 17.683531  
1.180000 0.605602 4.565366 17.335978  
1.190000 0.596809 4.424166 16.795813  
1.200000 0.586407 4.266583 16.160052  
1.210000 0.595720 4.104610 16.143027  
1.220000 0.603814 3.946357 16.101420  
1.230000 0.610083 3.854047 16.003274  
1.240000 0.615193 3.839524 15.879975  
1.250000 0.618695 3.883894 15.715398  
1.260000 0.620989 3.928669 15.521926  
1.270000 0.622268 3.958537 15.310571  
1.280000 0.622595 3.961429 15.077875  
1.290000 0.623370 4.003345 14.864908  
1.300000 0.623616 4.061478 14.645048  
1.310000 0.626230 4.108173 14.480073  
1.320000 0.629430 4.148526 14.336953  
1.330000 0.634038 4.191573 14.220690  
1.340000 0.640455 4.246768 14.154249  
1.350000 0.646623 4.321526 14.083862  
1.360000 0.654388 4.419022 14.038056  
1.370000 0.660461 4.536704 13.967854  
1.380000 0.667080 4.666811 13.898176  
1.390000 0.671641 4.798728 13.786593  
1.400000 0.675415 4.921653 13.674377  
1.410000 0.677778 5.026437 13.522552  
1.420000 0.677983 5.106554 13.331054  
1.430000 0.676098 5.158645 13.115415  
1.440000 0.672442 5.182736 12.861275  
1.450000 0.667134 5.181707 12.572736  
1.460000 0.660589 5.159860 12.271499  
1.470000 0.652865 5.121354 11.966992  
1.480000 0.653734 5.077592 11.874774  
1.490000 0.664447 5.025696 11.900109  
1.500000 0.665353 4.969476 11.770061  
1.510000 0.670527 4.914707 11.659329  
1.520000 0.679791 4.864432 11.674056  
1.530000 0.688843 4.817115 11.668034  
1.540000 0.695631 4.767427 11.628809  
1.550000 0.700557 4.709179 11.567924  
1.560000 0.702519 4.638653 11.449845  
1.570000 0.701309 4.556626 11.294975  
1.580000 0.697396 4.468294 11.084378  
1.590000 0.691584 4.381430 10.862827  
1.600000 0.684268 4.303830 10.621802  
1.610000 0.678455 4.241220 10.389985  
1.620000 0.673729 4.196323 10.196472  
1.630000 0.670659 4.169061 10.031360  
1.640000 0.669217 4.157388 9.893622  
1.650000 0.670024 4.158247 9.774200  
1.660000 0.671115 4.168413 9.675020  
1.670000 0.682091 4.185117 9.685565  
1.680000 0.701537 4.206451 9.841245  
1.690000 0.722988 4.231675 10.025768  
1.700000 0.746289 4.261525 10.227968  
1.710000 0.769758 4.298352 10.427190  
1.720000 0.792145 4.345707 10.606516  
1.730000 0.812050 4.407127 10.758127  
1.740000 0.829094 4.484403 10.864925  
1.750000 0.841682 4.575965 10.906287  
1.760000 0.848644 4.676066 10.888271  
1.770000 0.851968 4.775161 10.799473  
1.780000 0.850443 4.861481 10.658120  
1.790000 0.845674 4.923321 10.478168  
1.800000 0.839855 4.951245 10.276358  
1.810000 0.840985 4.939514 10.250981  
1.820000 0.881242 4.886475 10.636056  
1.830000 0.912484 4.794185 10.908829  
1.840000 0.936376 4.667773 11.051854  
1.850000 0.949074 4.514871 11.091546  
1.860000 0.950173 4.345056 11.006602  
1.870000 0.941339 4.169084 10.799903  
1.880000 0.925765 4.123685 10.493962  
1.890000 0.903103 4.081796 10.138740  
1.900000 0.876091 4.077149 9.748094  
1.910000 0.847427 4.073108 9.344083  
1.920000 0.836485 4.069504 9.008623  
1.930000 0.830403 4.065808 8.843848  
1.940000 0.821374 4.061237 8.653088  
1.950000 0.809903 4.055040 8.442215  
1.960000 0.812394 4.046769 8.385307  
1.970000 0.824186 4.036403 8.418763  
1.980000 0.836206 4.024271 8.461181  
1.990000 0.848917 4.010813 8.501562  
2.000000 0.860553 3.996292 8.541067  
2.010000 0.886694 3.980512 8.706680  
2.020000 0.912527 3.962616 8.869249  
2.030000 0.933564 3.941035 8.979664  
2.040000 0.948767 3.913592 9.041069  
2.050000 0.958064 3.877785 9.047188  
2.060000 0.962127 3.831180 8.994579  
2.070000 0.960268 3.771890 8.903072  
2.080000 0.954978 3.701445 8.762866  
2.090000 0.946306 3.619386 8.593508  
2.100000 0.936937 3.525736 8.408167  
2.110000 0.930567 3.474991 8.419627  
2.120000 0.952750 3.420111 8.546317  
2.130000 0.971886 3.363380 8.645378  
2.140000 0.988176 3.421676 8.709759  
2.150000 1.001052 3.465153 8.735436  
2.160000 1.009332 3.515859 8.721250  
2.170000 1.013008 3.614764 8.668363  
2.180000 1.012278 3.707616 8.584764  
2.190000 1.007494 3.793104 8.481289  
2.200000 0.999110 3.870470 8.349624  
2.210000 0.987633 3.939475 8.194523  
2.220000 0.974904 4.000335 8.020639  
2.230000 0.964130 4.053605 7.832017  
2.240000 0.971406 4.099989 7.667594  
2.250000 0.987813 4.140089 7.740802  
2.260000 1.000505 4.174168 7.787881  
2.270000 1.010568 4.202015 7.795930  
2.280000 1.015942 4.222971 7.783196  
2.290000 1.018520 4.236134 7.734203  
2.300000 1.016375 4.240676 7.653817  
