NGANo: csz021-A00692-NS 
Zeta: 0.050000 
Ds5-95: 158.380000 
Comments:  
Period, SD, SV, SA
0.010000 0.000112 0.006688 44.219346  
0.020000 0.000454 0.032003 45.346018  
0.030000 0.001134 0.070608 49.121384  
0.040000 0.001914 0.106693 46.579770  
0.050000 0.002887 0.115026 45.728483  
0.060000 0.004922 0.172932 53.822529  
0.070000 0.006740 0.261620 55.099876  
0.080000 0.008983 0.350396 56.316788  
0.090000 0.012587 0.477054 60.265346  
0.100000 0.017553 0.666037 69.177701  
0.110000 0.020958 0.729379 68.568302  
0.120000 0.032035 1.115315 88.485368  
0.130000 0.041716 1.400666 98.141559  
0.140000 0.047771 1.877103 98.430665  
0.150000 0.061241 2.249842 107.329518  
0.160000 0.064825 2.352597 99.117661  
0.170000 0.067760 1.998472 94.042686  
0.180000 0.069068 2.027163 84.726084  
0.190000 0.088527 2.547517 96.032046  
0.200000 0.099884 2.863755 99.196341  
0.210000 0.110874 3.129958 98.359893  
0.220000 0.126749 3.126646 102.358431  
0.230000 0.157089 3.863020 119.690452  
0.240000 0.178997 4.374221 125.157822  
0.250000 0.174315 3.965026 109.794035  
0.260000 0.196248 4.276871 115.593306  
0.270000 0.222861 4.952974 120.166378  
0.280000 0.216747 4.895533 108.813107  
0.290000 0.242158 5.202526 113.794352  
0.300000 0.284684 6.027428 124.824394  
0.310000 0.289115 6.334523 119.692313  
0.320000 0.269243 5.650821 102.834551  
0.330000 0.254931 5.287375 92.910837  
0.340000 0.261006 5.237978 90.578268  
0.350000 0.289613 5.431363 93.168030  
0.360000 0.323808 5.671640 98.591757  
0.370000 0.343554 5.884291 100.642269  
0.380000 0.383379 6.259806 106.206229  
0.390000 0.398268 6.175761 103.894005  
0.400000 0.407876 6.157212 100.413937  
0.410000 0.454891 7.341034 107.125636  
0.420000 0.546650 8.408637 123.683606  
0.430000 0.633735 9.334721 136.246539  
0.440000 0.684692 9.602017 139.702354  
0.450000 0.672005 9.308305 130.523758  
0.460000 0.694082 8.835726 129.563288  
0.470000 0.816462 10.363751 147.597942  
0.480000 0.904146 11.690224 156.584264  
0.490000 0.944825 12.299420 156.651266  
0.500000 0.946049 12.272158 150.319791  
0.510000 0.996624 11.439938 151.784528  
0.520000 1.057942 12.075532 154.424075  
0.530000 1.094824 12.547916 155.614899  
0.540000 1.133462 12.942132 154.026449  
0.550000 1.144747 12.929625 149.688008  
0.560000 1.127936 12.641253 143.381374  
0.570000 1.165618 12.756296 143.218286  
0.580000 1.212638 13.442195 143.648162  
0.590000 1.244629 13.809196 141.444488  
0.600000 1.245532 13.762511 136.523345  
0.610000 1.200491 13.132159 127.855627  
0.620000 1.134190 12.159343 117.702703  
0.630000 1.112759 12.168746 111.517662  
0.640000 1.106142 12.379635 107.458859  
0.650000 1.098394 12.380775 102.734704  
0.660000 1.177980 11.784358 106.859615  
0.670000 1.264444 12.370336 111.285126  
0.680000 1.303555 12.928125 111.565991  
0.690000 1.338352 12.988353 111.334355  
0.700000 1.343517 12.725089 109.075196  
0.710000 1.330975 12.315985 104.945804  
0.720000 1.305686 11.838812 99.785678  
0.730000 1.257155 11.405823 94.121506  
0.740000 1.213288 11.017551 87.755244  
0.750000 1.176212 10.690222 83.110667  
0.760000 1.154232 10.538006 79.535937  
0.770000 1.154513 10.519810 77.268123  
0.780000 1.170928 10.665492 76.195806  
0.790000 1.196188 10.948301 76.379955  
0.800000 1.231004 11.366993 76.258585  
0.810000 1.243486 11.706649 75.473810  
0.820000 1.258510 11.781699 74.496389  
0.830000 1.280636 11.572861 73.706107  
0.840000 1.268143 11.115937 71.432801  
0.850000 1.225109 10.400016 67.449332  
0.860000 1.165329 9.543106 62.626139  
0.870000 1.086784 8.952241 57.048904  
0.880000 0.996785 8.399436 51.302328  
0.890000 0.944415 7.745877 47.380154  
0.900000 0.958382 7.397969 47.113767  
0.910000 0.946057 7.214073 45.375667  
0.920000 0.906415 7.089411 42.510133  
0.930000 0.884645 7.087570 40.602398  
0.940000 0.887433 6.901034 39.947477  
0.950000 0.926442 6.524115 40.837619  
0.960000 0.948378 6.424155 40.906295  
0.970000 0.986278 6.778698 41.615423  
0.980000 1.003076 7.011982 41.581165  
0.990000 0.999665 7.049788 40.576229  
1.000000 0.982883 7.199408 39.070438  
1.010000 1.035293 7.363668 40.217653  
1.020000 1.097728 7.659704 41.891472  
1.030000 1.137805 7.840334 42.665043  
1.040000 1.160876 8.037655 42.601582  
1.050000 1.179134 8.214918 42.500110  
1.060000 1.206722 8.232548 42.783433  
1.070000 1.262934 8.273355 43.862343  
1.080000 1.291433 8.343997 44.099114  
1.090000 1.299710 8.652918 43.506506  
1.100000 1.288221 8.813676 42.405670  
1.110000 1.262772 8.914182 40.778104  
1.120000 1.223243 8.907193 38.866604  
1.130000 1.175983 8.803241 36.679553  
1.140000 1.132371 8.634392 34.638210  
1.150000 1.134414 8.403047 34.130461  
1.160000 1.134054 8.079640 33.524820  
1.170000 1.121125 7.724765 32.564346  
1.180000 1.100197 7.666341 31.452406  
1.190000 1.070987 7.554494 30.097842  
1.200000 1.032814 7.390307 28.541563  
1.210000 0.993038 7.179368 27.018253  
1.220000 0.953427 6.936623 25.519152  
1.230000 0.918327 6.687780 24.185539  
1.240000 0.892299 6.462902 23.126743  
1.250000 0.877019 6.286265 22.372041  
1.260000 0.871134 6.169694 21.873453  
1.270000 0.871381 6.112615 21.539143  
1.280000 0.873952 6.106394 21.269750  
1.290000 0.876817 6.138867 21.007331  
1.300000 0.877810 6.197027 20.711983  
1.310000 0.873420 6.268335 20.300355  
1.320000 0.862523 6.341633 19.752206  
1.330000 0.845019 6.408034 19.071166  
1.340000 0.847570 6.461783 18.861751  
1.350000 0.846570 6.500965 18.567170  
1.360000 0.842437 6.527548 18.212725  
1.370000 0.836275 6.546041 17.824403  
1.380000 0.854386 6.560832 17.963601  
1.390000 0.875155 6.573448 18.135811  
1.400000 0.897154 6.581914 18.326977  
1.410000 0.919688 6.590853 18.522756  
1.420000 0.941340 6.584004 18.695288  
1.430000 0.960486 6.556694 18.814088  
1.440000 0.975876 6.507796 18.857321  
1.450000 0.987020 6.439918 18.818547  
1.460000 0.994236 6.358075 18.706714  
1.470000 1.000178 6.267626 18.540311  
1.480000 1.004651 6.172418 18.339026  
1.490000 1.007659 6.073846 18.150118  
1.500000 1.009446 5.970966 17.949962  
1.510000 1.012171 5.861323 17.728455  
1.520000 1.032461 5.758774 17.820243  
1.530000 1.046064 5.645446 17.833216  
1.540000 1.052871 5.510653 17.724648  
