NGANo: csz033-A11923-EW 
Zeta: 0.050000 
Ds5-95: 121.260000 
Comments:  
Period, SD, SV, SA
0.010000 0.000135 0.010185 53.485889  
0.020000 0.000557 0.049838 54.888462  
0.030000 0.001326 0.085661 58.335613  
0.040000 0.002357 0.153257 57.814937  
0.050000 0.003351 0.211106 52.409450  
0.060000 0.005203 0.278331 57.804434  
0.070000 0.007193 0.341927 59.097625  
0.080000 0.010236 0.545293 62.310538  
0.090000 0.016337 0.758724 80.639196  
0.100000 0.019956 0.946724 80.617506  
0.110000 0.024785 1.112891 82.157656  
0.120000 0.032732 1.172732 88.091649  
0.130000 0.042219 1.279852 99.205261  
0.140000 0.049056 1.758684 99.012466  
0.150000 0.067402 1.858236 119.774475  
0.160000 0.071497 2.504010 107.990240  
0.170000 0.079613 2.369341 107.795713  
0.180000 0.104931 3.248434 128.689564  
0.190000 0.122918 3.682836 132.516853  
0.200000 0.152160 4.716421 149.708927  
0.210000 0.180217 4.810542 163.129291  
0.220000 0.187480 4.743015 154.397675  
0.230000 0.184571 4.489913 139.229949  
0.240000 0.218889 5.046697 149.494440  
0.250000 0.267469 6.316170 172.102190  
0.260000 0.315115 7.126145 183.859196  
0.270000 0.362132 8.384385 198.508081  
0.280000 0.391670 8.817851 199.695908  
0.290000 0.393396 8.339053 186.846020  
0.300000 0.399469 8.256875 175.465935  
0.310000 0.394338 7.799769 161.413303  
0.320000 0.373166 6.879247 143.823643  
0.330000 0.403470 7.074925 145.302227  
0.340000 0.439422 7.633335 151.759111  
0.350000 0.470978 7.724707 153.595859  
0.360000 0.474278 7.302416 145.429907  
0.370000 0.472785 6.979479 135.719854  
0.380000 0.481626 7.615656 132.517558  
0.390000 0.541707 8.335401 142.122851  
0.400000 0.625951 9.721377 155.672094  
0.410000 0.650911 10.311922 153.897968  
0.420000 0.655643 10.451086 146.912269  
0.430000 0.675835 10.556251 146.064835  
0.440000 0.694513 10.422969 143.698757  
0.450000 0.699354 10.080479 137.651677  
0.460000 0.754580 9.524714 141.593392  
0.470000 0.745388 9.353479 134.593087  
0.480000 0.735006 9.004903 126.500308  
0.490000 0.734200 8.782384 120.875829  
0.500000 0.743500 8.794602 117.352998  
0.510000 0.785772 9.184148 119.424775  
0.520000 0.796121 9.116533 117.024932  
0.530000 0.853271 8.489911 120.548364  
0.540000 0.902067 8.460205 122.813433  
0.550000 0.926759 9.243876 121.832967  
0.560000 0.910607 9.540833 115.618419  
0.570000 0.947484 9.233522 115.790345  
0.580000 1.000614 9.289863 117.577083  
0.590000 1.070117 9.948545 122.337436  
0.600000 1.175416 10.948829 129.382120  
0.610000 1.280776 12.130860 136.994820  
0.620000 1.360871 13.032030 140.238040  
0.630000 1.383530 13.284458 137.686509  
0.640000 1.354007 13.020310 130.859224  
0.650000 1.300176 12.422311 122.480015  
0.660000 1.283358 12.070548 116.618147  
0.670000 1.327782 12.278954 117.404794  
0.680000 1.408443 12.942276 120.942477  
0.690000 1.494483 13.778677 124.631843  
0.700000 1.571940 14.353049 127.049138  
0.710000 1.623629 14.964091 127.380876  
0.720000 1.652695 15.549032 126.030758  
0.730000 1.660248 15.781661 123.261243  
0.740000 1.692190 15.829238 122.856194  
0.750000 1.730356 15.384498 121.801214  
0.760000 1.717443 14.824731 117.943140  
0.770000 1.645181 14.616380 110.493430  
0.780000 1.587247 14.000616 103.619704  
0.790000 1.536886 13.012719 97.854207  
0.800000 1.465463 12.245731 90.923460  
0.810000 1.427870 12.068742 86.203990  
0.820000 1.409905 11.860111 83.158592  
0.830000 1.387343 11.337988 79.985882  
0.840000 1.352857 10.589383 76.205709  
0.850000 1.410240 9.736424 77.376088  
0.860000 1.452181 9.851646 78.058522  
0.870000 1.474786 10.019685 77.281485  
0.880000 1.461110 10.154589 75.039802  
0.890000 1.479650 10.104102 74.178966  
0.900000 1.523072 9.848812 74.539242  
0.910000 1.594817 9.882278 76.389141  
0.920000 1.675678 10.328666 78.690764  
0.930000 1.762178 10.738100 80.817497  
0.940000 1.863272 11.020633 83.606373  
0.950000 1.949395 11.114638 85.673790  
0.960000 2.001026 10.989482 86.190325  
0.970000 2.026054 10.971811 85.390763  
0.980000 2.038380 10.843818 84.103015  
0.990000 2.044012 11.280462 82.662273  
1.000000 2.101301 11.820601 83.215154  
1.010000 2.165461 12.339811 84.096073  
1.020000 2.220121 12.728294 84.592731  
1.030000 2.258524 12.946170 84.439403  
1.040000 2.282447 12.984172 83.721369  
1.050000 2.365756 13.077309 85.142121  
1.060000 2.468137 13.417103 87.153850  
1.070000 2.588534 13.949445 89.696165  
1.080000 2.740295 14.667914 93.108472  
1.090000 2.909561 15.493499 97.096771  
1.100000 3.075591 16.331116 100.778369  
1.110000 3.226385 17.082541 103.830877  
1.120000 3.353494 17.682314 106.031620  
1.130000 3.454273 18.136420 107.308716  
1.140000 3.531310 18.474991 107.786819  
1.150000 3.588358 18.729723 107.627289  
1.160000 3.625982 19.643862 106.878446  
1.170000 3.823784 21.018272 110.780002  
1.180000 4.055005 22.324161 115.475031  
1.190000 4.299250 23.633059 120.430614  
1.200000 4.556995 24.814230 125.484348  
1.210000 4.814370 25.945565 130.417825  
1.220000 5.068766 26.932221 135.078516  
1.230000 5.312795 27.793627 139.294944  
1.240000 5.531544 28.497930 142.703944  
1.250000 5.703976 28.985343 144.814391  
1.260000 5.830250 29.075899 145.549158  
1.270000 6.104371 29.034672 150.001871  
1.280000 6.332964 29.308894 153.226831  
1.290000 6.504351 30.173285 154.967971  
1.300000 6.612945 30.660179 155.160362  
1.310000 6.659274 30.753200 153.893591  
1.320000 6.649649 30.466525 151.374206  
1.330000 6.596547 30.033026 147.925245  
1.340000 6.517646 29.594307 143.977080  
1.350000 6.432326 29.116577 139.974249  
1.360000 6.363046 28.641944 136.501479  
1.370000 6.320639 28.202593 133.587246  
1.380000 6.289895 27.750310 130.993595  
1.390000 6.252306 27.242394 128.356044  
1.400000 6.188495 26.431679 125.304622  
1.410000 6.072820 25.389540 121.221996  
1.420000 5.894008 24.498545 115.993851  
1.430000 5.660662 24.160036 109.829723  
1.440000 5.434719 23.701092 103.967998  
1.450000 5.346139 23.346510 100.874435  
1.460000 5.209309 22.728946 96.934023  
1.470000 5.038288 21.875756 92.460286  
1.480000 4.848091 20.938915 87.747503  
1.490000 4.654937 19.935406 83.197635  
1.500000 4.538581 19.540931 79.988324  
1.510000 4.583411 19.459108 79.807063  
1.520000 4.702879 19.836292 80.774137  
1.530000 4.791673 20.405826 81.217045  
1.540000 4.848372 20.777158 81.124626  
1.550000 4.871993 20.995000 80.468374  
1.560000 4.923660 21.003152 80.310491  
1.570000 5.059882 20.850600 81.514669  
1.580000 5.185516 20.940058 82.502207  
1.590000 5.307774 21.436226 83.382209  
1.600000 5.423271 21.895348 84.219495  
1.610000 5.575741 22.516569 85.409153  
1.620000 5.718836 23.097858 86.604966  
1.630000 5.851628 23.664070 87.505753  
1.640000 5.975772 24.202187 88.280597  
1.650000 6.082248 24.653340 88.708027  
1.660000 6.164555 24.982155 88.898861  
1.670000 6.225064 25.240609 88.606636  
1.680000 6.251460 25.325828 87.868169  
1.690000 6.323360 25.281985 87.887510  
1.700000 6.371117 25.098450 87.601752  
1.710000 6.397546 24.890899 86.846105  
1.720000 6.395524 24.740800 85.865834  
1.730000 6.389957 24.559957 84.724743  
1.740000 6.378772 24.372518 83.682691  
1.750000 6.385551 24.240870 82.725712  
1.760000 6.404045 24.138428 82.054088  
1.770000 6.436386 24.078178 81.579158  
1.780000 6.488343 24.079196 81.229722  
1.790000 6.544469 24.079276 81.086699  
1.800000 6.602814 24.058103 80.927373  
1.810000 6.664747 24.045977 80.742560  
1.820000 6.717054 24.000400 80.563152  
1.830000 6.766409 23.944282 80.257968  
1.840000 6.813093 23.897403 79.924974  
1.850000 6.852986 24.033419 79.607876  
1.860000 6.899577 24.337683 79.264174  
1.870000 6.952832 24.656656 79.007955  
1.880000 7.009419 25.005739 78.891931  
1.890000 7.078985 25.409117 78.806311  
1.900000 7.152556 25.873345 78.764364  
1.910000 7.351667 26.354738 79.973293  
1.920000 7.608330 26.820552 81.875177  
1.930000 7.847310 27.229758 83.544326  
1.940000 8.060340 27.611312 84.974662  
1.950000 8.239946 27.871037 86.024798  
1.960000 8.380988 27.978073 86.640274  
1.970000 8.483443 27.963218 86.788650  
1.980000 8.538659 27.847691 86.448320  
1.990000 8.552502 28.585553 85.704387  
2.000000 8.582560 29.145150 85.070641  
2.010000 8.570760 29.614869 84.066509  
2.020000 8.534740 29.923876 82.958389  
2.030000 8.616022 30.019758 82.962455  
2.040000 8.643312 29.939587 82.424056  
2.050000 8.619324 29.617106 81.383654  
2.060000 8.550483 29.186392 79.988053  
2.070000 8.446623 28.635356 78.280332  
2.080000 8.323603 28.056695 76.373964  
2.090000 8.195853 27.486996 74.470193  
2.100000 8.070467 26.970472 72.654485  
2.110000 7.969673 26.517500 71.063763  
2.120000 7.900327 26.185294 69.758847  
2.130000 7.870394 25.973602 68.857180  
2.140000 7.885431 25.885619 68.381362  
2.150000 7.950186 25.913933 68.294947  
2.160000 8.055533 26.064534 68.544365  
2.170000 8.191510 26.279968 69.041710  
2.180000 8.346053 26.522293 69.744661  
2.190000 8.517559 26.772807 70.506958  
2.200000 8.683594 27.002975 71.220697  
2.210000 8.842825 27.155000 71.877669  
2.220000 8.979245 27.202726 72.340071  
2.230000 9.098588 27.149693 72.615345  
2.240000 9.186261 27.010674 72.675890  
2.250000 9.243424 26.745033 72.489838  
2.260000 9.274552 26.872591 72.092720  
2.270000 9.270133 27.024049 71.495702  
2.280000 9.249474 27.072643 70.684445  
2.290000 9.197847 27.031124 69.748648  
2.300000 9.139397 26.932237 68.684827  
2.310000 9.062072 26.802398 67.531484  
2.320000 8.980810 26.629942 66.386763  
2.330000 8.899941 26.433937 65.213652  
2.340000 8.819474 26.234343 64.076398  
2.350000 8.752023 26.051237 63.079428  
2.360000 8.782879 25.926484 62.667254  
2.370000 9.020075 25.851034 63.804322  
2.380000 9.258752 25.831446 64.956106  
2.390000 9.485284 25.928674 65.974942  
2.400000 9.699559 26.377259 66.895612  
2.410000 9.887114 26.927021 67.604096  
2.420000 10.043420 27.393000 68.098932  
2.430000 10.164301 27.713885 68.355120  
2.440000 10.246527 27.938662 68.348079  
2.450000 10.524510 27.983938 69.621810  
2.460000 10.798788 27.876890 70.848900  
2.470000 11.044461 27.628632 71.869876  
2.480000 11.258966 27.195024 72.666570  
2.490000 11.441166 27.439385 73.263141  
2.500000 11.589948 28.130330 73.646644  
2.510000 11.707921 28.776720 73.804052  
2.520000 11.796423 29.420158 73.775642  
2.530000 11.852396 30.008819 73.528059  
2.540000 11.876366 30.516866 73.087121  
2.550000 11.868896 30.919191 72.459887  
2.560000 11.830966 31.225618 71.653545  
2.570000 11.763911 31.392607 70.682140  
2.580000 11.669310 31.479849 69.564095  
2.590000 11.549149 31.442040 68.314200  
2.600000 11.405865 31.277080 66.948726  
2.610000 11.242202 31.028665 65.486451  
2.620000 11.060957 30.707756 63.946269  
2.630000 10.892552 30.298471 62.469110  
2.640000 10.898045 29.864035 62.121913  
2.650000 11.011569 29.385058 62.281596  
2.660000 11.089438 28.893873 62.255469  
2.670000 11.135240 28.708112 62.060373  
2.680000 11.164132 28.727921 61.772874  
2.690000 11.169880 28.711964 61.351247  
2.700000 11.167275 28.648531 60.899389  
2.710000 11.173658 28.554784 60.445411  
2.720000 11.279827 28.444736 60.563608  
2.730000 11.388539 28.571952 60.711892  
2.740000 11.499314 28.695432 60.857821  
2.750000 11.623506 28.816657 61.066702  
2.760000 11.751486 28.937182 61.305135  
2.770000 11.891280 29.055196 61.572042  
2.780000 12.038022 29.165832 61.898072  
2.790000 12.187684 29.281965 62.217420  
2.800000 12.344291 29.391609 62.565392  
2.810000 12.493693 29.467191 62.885019  
2.820000 12.644678 29.497237 63.178915  
2.830000 12.779599 29.471379 63.413260  
2.840000 12.907088 29.423101 63.587270  
2.850000 13.013785 29.302517 63.657608  
2.860000 13.102820 29.112037 63.658873  
2.870000 13.172097 28.880100 63.530140  
2.880000 13.215151 28.896266 63.318035  
2.890000 13.242039 29.198986 62.994132  
2.900000 13.244430 29.433125 62.551519  
2.910000 13.221984 29.597407 62.046234  
2.920000 13.185638 29.692107 61.434676  
2.930000 13.126689 29.737698 60.728329  
2.940000 13.046491 29.739376 59.975039  
2.950000 12.955514 29.677620 59.136819  
2.960000 12.846958 29.555334 58.227862  
2.970000 12.722155 29.375449 57.281355  
2.980000 12.586189 29.140921 56.275860  
2.990000 12.437031 28.854930 55.232335  
3.000000 12.270348 28.524013 54.158563  
3.010000 12.098411 28.179510 53.051869  
3.020000 11.909963 27.795712 51.898817  
3.030000 11.718083 27.379356 50.729127  
3.040000 11.514708 27.103987 49.542152  
3.050000 11.313683 26.868139 48.348444  
3.060000 11.106266 26.607212 47.176564  
3.070000 10.903399 26.329559 46.003856  
3.080000 10.701806 26.065327 44.877402  
3.090000 10.499574 25.792762 43.766736  
3.100000 10.306530 25.514590 42.667640  
3.110000 10.210340 25.312986 41.961930  
3.120000 10.506156 25.115810 42.900274  
3.130000 10.780666 24.908157 43.729443  
3.140000 11.030329 24.687794 44.465972  
