NGANo: csz026-A11923-NS 
Zeta: 0.050000 
Ds5-95: 143.160000 
Comments:  
Period, SD, SV, SA
0.010000 0.000169 0.007403 66.534143  
0.020000 0.000715 0.035850 70.442693  
0.030000 0.001510 0.072886 66.178863  
0.040000 0.002830 0.113400 70.093846  
0.050000 0.004450 0.162298 70.005036  
0.060000 0.006378 0.267553 70.041702  
0.070000 0.008469 0.303303 68.300484  
0.080000 0.011565 0.416805 70.957206  
0.090000 0.015212 0.592111 73.930899  
0.100000 0.020626 0.700406 81.451537  
0.110000 0.027948 1.117626 91.134237  
0.120000 0.031666 1.282382 89.382837  
0.130000 0.037698 1.251686 88.282440  
0.140000 0.054767 1.867351 111.842690  
0.150000 0.067863 2.114430 119.556216  
0.160000 0.066703 1.855935 103.276464  
0.170000 0.084819 2.513375 114.845006  
0.180000 0.095252 2.675391 115.790720  
0.190000 0.118612 2.838139 128.408305  
0.200000 0.124987 2.740431 124.960152  
0.210000 0.140942 3.539377 126.575478  
0.220000 0.205485 5.194929 171.370117  
0.230000 0.251631 5.977822 190.503996  
0.240000 0.260277 6.160337 178.162724  
0.250000 0.241991 5.479551 155.556792  
0.260000 0.267226 5.386505 157.974014  
0.270000 0.286219 6.127856 154.426969  
0.280000 0.297561 6.523633 152.811394  
0.290000 0.322336 6.692764 150.774958  
0.300000 0.362081 7.553772 159.606227  
0.310000 0.371568 7.292573 152.485808  
0.320000 0.360356 6.975522 139.323863  
0.330000 0.373631 6.885529 136.693137  
0.340000 0.374052 6.659238 128.448039  
0.350000 0.353688 6.068509 115.512979  
0.360000 0.385555 6.340933 119.395690  
0.370000 0.430888 7.060290 125.610005  
0.380000 0.432133 6.965191 119.704127  
0.390000 0.445047 6.326100 116.680945  
0.400000 0.419788 6.050121 104.558483  
0.410000 0.461943 5.778204 108.498552  
0.420000 0.499386 5.950437 111.489807  
0.430000 0.534535 6.522178 114.663884  
0.440000 0.556659 7.127562 113.421267  
0.450000 0.564998 7.194985 110.223982  
0.460000 0.549520 7.148644 102.321410  
0.470000 0.563305 7.451585 100.606814  
0.480000 0.617255 7.611331 105.606369  
0.490000 0.682578 8.609213 112.978506  
0.500000 0.730522 9.077835 115.908486  
0.510000 0.812022 9.095849 124.195038  
0.520000 0.892310 8.942423 130.342112  
0.530000 0.964307 9.113933 135.449726  
0.540000 0.980523 9.146856 133.062242  
0.550000 0.970175 8.887697 127.451155  
0.560000 0.971777 8.717447 122.989764  
0.570000 1.009572 8.918017 122.775338  
0.580000 1.079621 9.521994 127.044329  
0.590000 1.161577 10.284490 132.731555  
0.600000 1.248880 11.092240 137.250183  
0.610000 1.320603 11.736853 140.613283  
0.620000 1.370398 12.190650 141.891427  
0.630000 1.405009 12.315082 140.406590  
0.640000 1.419800 12.345196 136.989831  
0.650000 1.424106 12.472532 133.474884  
0.660000 1.422725 12.868637 129.816269  
0.670000 1.485773 13.035522 131.260029  
0.680000 1.564839 13.048595 133.902572  
0.690000 1.642644 12.938981 136.382687  
0.700000 1.723546 12.770296 139.125293  
0.710000 1.812320 12.677788 142.448579  
0.720000 1.904835 12.528935 145.890664  
0.730000 1.995343 12.442546 148.445160  
0.740000 2.064743 12.521799 149.160789  
0.750000 2.102563 12.764720 147.913240  
0.760000 2.107083 12.900557 144.675799  
0.770000 2.087930 12.895481 139.706793  
0.780000 2.058338 12.778734 133.922612  
0.790000 2.012441 12.607296 128.027732  
0.800000 1.968063 12.407729 121.835883  
0.810000 1.916522 12.129417 115.548447  
0.820000 1.868335 11.856018 110.134502  
