NGANo: csz024-A00692-NS 
Zeta: 0.050000 
Ds5-95: 125.080000 
Comments:  
Period, SD, SV, SA
0.010000 0.000138 0.007536 54.788680  
0.020000 0.000584 0.039129 57.832729  
0.030000 0.001325 0.081959 58.812263  
0.040000 0.002218 0.128217 55.052980  
0.050000 0.003603 0.227433 56.673894  
0.060000 0.005929 0.243938 66.128467  
0.070000 0.007508 0.358178 60.677927  
0.080000 0.010251 0.593326 64.577874  
0.090000 0.014194 0.568808 70.392704  
0.100000 0.018705 0.786461 73.792421  
0.110000 0.025571 1.006537 83.316519  
0.120000 0.030995 1.217379 84.441159  
0.130000 0.043179 1.615863 103.876982  
0.140000 0.051023 1.807065 105.678517  
0.150000 0.063190 2.326231 110.830052  
0.160000 0.075637 2.676407 117.283669  
0.170000 0.083786 2.937590 116.253223  
0.180000 0.093768 3.002495 115.964510  
0.190000 0.103169 3.156062 115.342520  
0.200000 0.120066 3.349211 119.349207  
0.210000 0.140615 3.645342 127.647003  
0.220000 0.137747 3.270677 111.846949  
0.230000 0.169910 3.950455 128.850042  
0.240000 0.206743 4.510457 143.351708  
0.250000 0.225750 5.027930 142.356259  
0.260000 0.219134 4.851561 128.070362  
0.270000 0.241719 5.212464 131.349632  
0.280000 0.266700 5.806855 134.948606  
0.290000 0.300509 6.504681 139.680012  
0.300000 0.279358 5.873729 122.338361  
0.310000 0.312671 5.794227 127.459040  
0.320000 0.330187 6.274620 128.284139  
0.330000 0.354045 6.277432 130.077522  
0.340000 0.405432 6.957843 140.585055  
0.350000 0.437332 7.421164 142.456437  
0.360000 0.415126 6.972214 127.231693  
0.370000 0.448327 7.221063 130.411183  
0.380000 0.548901 7.952214 149.312031  
0.390000 0.642796 9.284821 169.228228  
0.400000 0.742715 10.381637 183.897104  
0.410000 0.842979 11.478889 197.018193  
0.420000 0.892845 12.374756 200.296792  
0.430000 0.878795 12.340233 188.928026  
0.440000 0.797630 11.284500 164.779243  
0.450000 0.693459 9.612902 135.660167  
0.460000 0.741327 9.955867 138.436280  
0.470000 0.816489 10.756644 147.378971  
0.480000 0.895919 11.553461 154.060100  
0.490000 0.938020 11.990428 154.284318  
0.500000 0.912463 11.562244 143.824360  
0.510000 0.940177 11.833742 142.988172  
0.520000 0.991786 12.073528 144.832573  
0.530000 0.991615 11.857506 140.369095  
0.540000 0.970485 11.322747 132.607869  
0.550000 0.932279 10.592448 121.470134  
0.560000 0.866261 9.614687 110.374262  
0.570000 0.806306 8.919190 98.199899  
0.580000 0.836093 9.006786 98.480365  
0.590000 0.886461 9.346540 101.392838  
