NGANo: csz030-A00692-NS 
Zeta: 0.050000 
Ds5-95: 51.320000 
Comments:  
Period, SD, SV, SA
0.010000 0.000080 0.006756 31.610441  
0.020000 0.000318 0.026229 31.503846  
0.030000 0.000765 0.060530 33.804695  
0.040000 0.001421 0.107546 34.304113  
0.050000 0.001872 0.130665 29.126061  
0.060000 0.003483 0.214663 38.032281  
0.070000 0.004628 0.326406 38.462190  
0.080000 0.006517 0.318350 39.748641  
0.090000 0.011087 0.585679 52.404834  
0.100000 0.015504 0.675182 61.871760  
0.110000 0.021345 0.823134 69.450127  
0.120000 0.022406 1.005138 61.090001  
0.130000 0.025207 0.915665 59.965000  
0.140000 0.034118 1.086766 69.500600  
0.150000 0.040164 1.381603 72.324897  
0.160000 0.048045 1.555883 73.247765  
0.170000 0.050241 1.544111 70.224180  
0.180000 0.056182 1.674533 68.179819  
0.190000 0.080108 2.216844 87.644668  
0.200000 0.088777 2.539283 86.473862  
0.210000 0.093157 2.551316 84.240224  
0.220000 0.093752 2.493319 77.743905  
0.230000 0.107309 2.672875 80.251638  
0.240000 0.099531 2.479485 67.409235  
0.250000 0.111820 2.386572 71.655382  
0.260000 0.120317 2.590368 69.887816  
0.270000 0.133315 2.803356 72.487124  
0.280000 0.125100 2.714415 62.795036  
0.290000 0.129322 2.392796 61.471170  
0.300000 0.149698 2.832272 66.678791  
0.310000 0.184548 3.312860 76.611040  
0.320000 0.187160 3.502395 72.829140  
0.330000 0.230248 4.212025 83.297668  
0.340000 0.276751 5.062427 95.603535  
0.350000 0.327802 5.695217 106.075349  
0.360000 0.369919 6.284308 112.589765  
0.370000 0.407134 6.850137 118.819033  
0.380000 0.441905 7.319192 120.960305  
0.390000 0.449474 7.459782 117.673150  
0.400000 0.427769 6.966312 105.043697  
0.410000 0.419210 6.566113 98.820440  
0.420000 0.416637 6.122747 94.473314  
0.430000 0.428353 5.710770 92.290573  
0.440000 0.451325 5.854465 92.817907  
0.450000 0.441426 5.910245 86.650049  
0.460000 0.433418 5.732312 81.117368  
0.470000 0.421343 5.605981 76.313013  
0.480000 0.413618 5.407635 70.900540  
0.490000 0.416727 5.513734 69.433592  
0.500000 0.442066 5.823008 69.963126  
0.510000 0.464905 6.124115 70.710445  
0.520000 0.490553 6.154579 71.860814  
0.530000 0.497884 6.169349 69.902707  
0.540000 0.472650 5.814547 64.634120  
0.550000 0.438293 5.288174 57.160364  
0.560000 0.441044 5.187449 55.881119  
0.570000 0.462113 5.389189 56.603628  
0.580000 0.496424 5.544130 58.320336  
0.590000 0.506731 5.660990 57.450156  
0.600000 0.515679 5.381729 56.579189  
0.610000 0.524100 5.310646 55.631220  
0.620000 0.532044 5.244711 54.717517  
0.630000 0.538295 5.095371 53.848684  
0.640000 0.539172 4.894370 52.400488  
0.650000 0.528573 4.916593 49.528577  
0.660000 0.505824 4.800513 45.880249  
0.670000 0.506645 4.663080 44.915930  
0.680000 0.509645 4.997005 43.825938  
0.690000 0.530302 5.371280 44.057468  
0.700000 0.540814 5.536932 43.661645  
0.710000 0.552160 5.499009 43.359179  
0.720000 0.556669 5.391258 42.542305  
0.730000 0.569811 5.585539 42.426787  
0.740000 0.598721 5.700386 43.444180  
0.750000 0.639383 5.752865 45.225727  
0.760000 0.670420 5.836407 46.197158  
0.770000 0.687442 6.099221 46.111937  
0.780000 0.697635 6.175958 45.531355  
0.790000 0.728951 6.105050 46.288232  
0.800000 0.748053 6.113676 46.566918  
0.810000 0.759985 6.344498 45.882530  
0.820000 0.760274 6.598198 45.012818  
0.830000 0.753743 6.745796 43.383387  
0.840000 0.738070 6.630529 41.616964  
0.850000 0.721523 6.266703 39.593453  
0.860000 0.744418 5.845398 39.863451  
0.870000 0.746830 5.432006 39.171228  
0.880000 0.733801 5.166752 37.654474  
0.890000 0.715407 5.018047 35.836154  
0.900000 0.695204 4.860357 34.042497  
0.910000 0.682481 4.738325 32.762811  
0.920000 0.680535 4.686961 31.915412  
0.930000 0.683634 4.698912 31.325912  
0.940000 0.686483 4.766834 30.903702  
0.950000 0.689463 4.964574 30.357100  
0.960000 0.706775 5.176297 30.494360  
0.970000 0.727340 5.373093 30.607853  
0.980000 0.771472 5.525020 31.909844  
0.990000 0.812363 5.741253 32.850617  
1.000000 0.842727 5.866714 33.533447  
1.010000 0.860212 5.840472 33.469885  
1.020000 0.859536 5.696141 32.892733  
1.030000 0.839267 5.427570 31.436577  
1.040000 0.806595 5.062732 29.697529  
1.050000 0.766513 4.926513 27.650810  
1.060000 0.725424 4.876702 25.730942  
1.070000 0.691769 4.804831 24.062716  
1.080000 0.662793 4.747547 22.616593  
1.090000 0.644687 4.728889 21.565386  
1.100000 0.658577 4.753396 21.618519  
1.110000 0.675329 4.782611 21.799310  
1.120000 0.694686 4.790456 22.014057  
1.130000 0.709581 4.759547 22.073889  
1.140000 0.720634 4.682563 22.052161  
1.150000 0.726411 4.557869 21.829521  
1.160000 0.725630 4.388228 21.456201  
1.170000 0.719810 4.182737 20.911390  
1.180000 0.707199 4.000616 20.215960  
1.190000 0.694018 4.009063 19.501316  
1.200000 0.678513 4.012397 18.746443  
1.210000 0.667299 4.007659 18.095806  
1.220000 0.688559 4.150593 18.371970  
1.230000 0.713395 4.337353 18.723442  
1.240000 0.734685 4.522906 18.963238  
1.250000 0.753965 4.695690 19.149746  
1.260000 0.770982 4.868037 19.255986  
1.270000 0.787473 5.026377 19.341131  
1.280000 0.806177 5.175363 19.473358  
1.290000 0.838846 5.318216 20.041377  
1.300000 0.877334 5.453767 20.641581  
1.310000 0.916486 5.576532 21.237785  
1.320000 0.956638 5.678357 21.837071  
1.330000 0.993165 5.750039 22.337398  
1.340000 1.029100 5.782370 22.785627  
1.350000 1.058928 5.766752 23.110327  
1.360000 1.086592 5.710856 23.335997  
1.370000 1.108915 5.614697 23.426770  
1.380000 1.126953 5.451075 23.459930  
1.390000 1.138736 5.526887 23.392892  
1.400000 1.140620 5.630482 23.126203  
1.410000 1.129935 5.669054 22.608851  
1.420000 1.109050 5.637416 21.907427  
1.430000 1.072700 5.563731 20.911201  
1.440000 1.029804 5.453807 19.774133  
1.450000 1.042267 5.307022 19.716883  
1.460000 1.047092 5.121310 19.556517  
1.470000 1.046148 4.982358 19.249292  
1.480000 1.039990 4.864065 18.896425  
1.490000 1.030928 4.725784 18.445468  
1.500000 1.019398 4.576483 18.011095  
1.510000 1.008106 4.424102 17.548835  
1.520000 1.025663 4.274884 17.702635  
1.530000 1.085030 4.245821 18.487176  
1.540000 1.140458 4.314573 19.168138  
1.550000 1.191204 4.338005 19.753474  
1.560000 1.233844 4.315420 20.212694  
1.570000 1.266967 4.325847 20.508291  
1.580000 1.291983 4.391072 20.631114  
1.590000 1.308754 4.471725 20.621129  
1.600000 1.315299 4.565468 20.485763  
1.610000 1.313667 4.670227 20.214226  
1.620000 1.307982 4.784668 19.840330  
1.630000 1.297127 4.908163 19.445379  
1.640000 1.283782 5.040174 19.024738  
1.650000 1.270779 5.179272 18.615542  
1.660000 1.274290 5.322272 18.380921  
1.670000 1.312828 5.463929 18.724217  
1.680000 1.350221 5.597322 19.023605  
1.690000 1.385461 5.714733 19.276061  
1.700000 1.414551 5.810519 19.471484  
1.710000 1.440496 5.894031 19.565452  
1.720000 1.457804 5.943705 19.596393  
1.730000 1.470611 5.956109 19.512281  
1.740000 1.475050 5.929945 19.353000  
1.750000 1.473174 6.011053 19.100169  
1.760000 1.466424 6.125186 18.770112  
1.770000 1.455741 6.205737 18.401719  
1.780000 1.443950 6.252647 18.028939  
1.790000 1.430446 6.267339 17.675481  
1.800000 1.415837 6.252535 17.338255  
1.810000 1.435406 6.212075 17.437683  
1.820000 1.445582 6.150713 17.357112  
1.830000 1.442074 6.073855 17.147137  
1.840000 1.429899 5.987255 16.806835  
1.850000 1.408453 5.896688 16.383772  
1.860000 1.381297 5.807633 15.883105  
1.870000 1.349671 5.725122 15.355623  
1.880000 1.315505 5.655657 14.790949  
1.890000 1.280559 5.598752 14.242648  
1.900000 1.264429 5.556861 13.918849  
1.910000 1.265714 5.531410 13.789470  
1.920000 1.272007 5.522864 13.715635  
1.930000 1.283042 5.530853 13.693196  
1.940000 1.298373 5.554366 13.716231  
1.950000 1.317446 5.591960 13.777838  
1.960000 1.340232 5.641969 13.870845  
1.970000 1.365774 5.702678 13.988364  
1.980000 1.393491 5.772465 14.124171  
1.990000 1.422904 5.849887 14.272913  
2.000000 1.453606 5.933734 14.435268  
2.010000 1.485261 6.023046 14.611616  
2.020000 1.517682 6.117089 14.791720  
2.030000 1.552312 6.215303 14.973201  
2.040000 1.587346 6.317208 15.153815  
2.050000 1.622515 6.422271 15.344437  
2.060000 1.657488 6.529740 15.537381  
2.070000 1.694413 6.638479 15.721082  
2.080000 1.730220 6.746846 15.892563  
2.090000 1.764092 6.852658 16.067852  
2.100000 1.797811 6.953272 16.215340  
2.110000 1.828663 7.045795 16.330640  
2.120000 1.854928 7.127360 16.432908  
2.130000 1.879656 7.195440 16.486908  
2.140000 1.898755 7.248098 16.500605  
2.150000 1.912786 7.284124 16.484454  
2.160000 1.923570 7.303048 16.413780  
2.170000 1.927937 7.305029 16.308623  
2.180000 1.929467 7.290663 16.171463  
2.190000 1.925991 7.260789 15.986644  
2.200000 1.951887 7.216326 15.984596  
2.210000 1.977401 7.158192 16.055135  
2.220000 1.999997 7.087293 16.095976  
2.230000 2.019126 7.004584 16.115151  
2.240000 2.035617 6.911143 16.098425  
2.250000 2.047403 6.808237 16.068287  
2.260000 2.057116 6.700443 16.002440  
2.270000 2.063085 6.590189 15.906175  
2.280000 2.064895 6.480438 15.799670  
2.290000 2.063916 6.474845 15.665338  
2.300000 2.061357 6.459511 15.507054  
2.310000 2.055747 6.439032 15.328754  
2.320000 2.047527 6.413672 15.150196  
2.330000 2.037117 6.381317 14.958728  
2.340000 2.024921 6.342890 14.755994  
2.350000 2.013168 6.299246 14.544940  
2.360000 2.000172 6.251227 14.328459  
2.370000 1.986345 6.199736 14.109590  
2.380000 1.972158 6.145814 13.891682  
2.390000 1.958155 6.105846 13.678491  
2.400000 1.990907 6.206988 13.694070  
2.410000 2.032340 6.287053 13.865679  
2.420000 2.068807 6.346069 14.007022  
2.430000 2.100252 6.394542 14.108663  
2.440000 2.127550 6.422188 14.173600  
2.450000 2.151108 6.433387 14.214561  
2.460000 2.170867 6.438019 14.224538  
2.470000 2.187786 6.440991 14.210198  
2.480000 2.204571 6.424712 14.181096  
2.490000 2.220029 6.389204 14.177318  
2.500000 2.231314 6.336269 14.152329  
2.510000 2.236786 6.273040 14.100536  
2.520000 2.237115 6.190184 13.999481  
2.530000 2.230444 6.087931 13.854910  
2.540000 2.217499 6.106736 13.678275  
2.550000 2.197536 6.193775 13.450425  
2.560000 2.219017 6.290039 13.513735  
2.570000 2.267262 6.394862 13.700001  
2.580000 2.317388 6.507534 13.899341  
2.590000 2.368957 6.627272 14.105219  
2.600000 2.421486 6.753193 14.314742  
2.610000 2.475193 6.884304 14.524842  
2.620000 2.529977 7.019495 14.732304  
2.630000 2.584293 7.157548 14.933819  
2.640000 2.637531 7.297164 15.126071  
2.650000 2.689079 7.436991 15.305819  
2.660000 2.738337 7.575661 15.469996  
2.670000 2.784862 7.711827 15.616318  
2.680000 2.831155 7.844196 15.758647  
2.690000 2.873783 7.971560 15.878777  
2.700000 2.912319 8.092818 15.974865  
2.710000 2.946400 8.206996 16.045483  
2.720000 2.979398 8.313261 16.089632  
2.730000 3.007775 8.410933 16.122160  
2.740000 3.032317 8.499489 16.132834  
2.750000 3.054721 8.578569 16.116584  
2.760000 3.074522 8.647975 16.073897  
2.770000 3.091044 8.707669 16.024318  
2.780000 3.106608 8.757758 15.952443  
2.790000 3.117662 8.798486 15.906251  
2.800000 3.128237 8.830207 15.851808  
2.810000 3.134475 8.853360 15.775742  
2.820000 3.139960 8.868444 15.697409  
2.830000 3.142143 8.875977 15.602956  
2.840000 3.142417 8.876474 15.496484  
2.850000 3.141264 8.870413 15.387968  
2.860000 3.156998 8.858216 15.333123  
2.870000 3.194866 8.840231 15.409772  
2.880000 3.233139 8.816723 15.479654  
2.890000 3.270429 8.790631 15.549813  
2.900000 3.307086 8.764159 15.615241  
2.910000 3.344078 8.732429 15.680083  
2.920000 3.379414 8.695441 15.742055  
2.930000 3.415327 8.653157 15.800231  
2.940000 3.450411 8.605526 15.858936  
2.950000 3.483741 8.552493 15.908786  
2.960000 3.518348 8.494013 15.958707  
2.970000 3.551261 8.571460 16.004904  
2.980000 3.583502 8.646020 16.041957  
2.990000 3.615911 8.714976 16.073872  
3.000000 3.646512 8.778228 16.107031  
3.010000 3.678364 8.835685 16.130905  
3.020000 3.708200 8.894494 16.153401  
3.030000 3.738978 8.948585 16.173335  
3.040000 3.768143 8.996660 16.193575  
