NGANo: csz006-A00692-NS 
Zeta: 0.050000 
Ds5-95: 129.740000 
Comments:  
Period, SD, SV, SA
0.010000 0.000142 0.008964 56.364482  
0.020000 0.000574 0.044789 57.059127  
0.030000 0.001326 0.080488 57.946163  
0.040000 0.002380 0.148810 58.380696  
0.050000 0.004526 0.217896 71.393552  
0.060000 0.005390 0.261129 58.927063  
0.070000 0.007437 0.358262 60.015975  
0.080000 0.010514 0.639381 67.027838  
0.090000 0.015872 0.698127 78.073294  
0.100000 0.023408 0.909427 91.271758  
0.110000 0.031525 1.146626 104.347151  
0.120000 0.034487 1.348167 94.514032  
0.130000 0.038550 1.462125 90.939088  
0.140000 0.060914 1.985717 122.427250  
0.150000 0.075228 2.394439 135.314937  
0.160000 0.096153 3.082414 149.161006  
0.170000 0.100026 2.980441 135.726390  
0.180000 0.109648 3.255541 132.087589  
0.190000 0.108611 3.151554 118.475366  
0.200000 0.117405 3.511260 118.821445  
0.210000 0.135435 3.774060 120.655552  
0.220000 0.145672 3.470454 117.575687  
0.230000 0.152295 3.619882 114.315142  
0.240000 0.179416 4.017333 123.458390  
0.250000 0.181200 4.241264 116.112049  
0.260000 0.200473 4.444163 117.427057  
0.270000 0.222940 5.082820 122.868320  
0.280000 0.278731 6.038399 141.711215  
0.290000 0.323245 6.740730 153.290810  
0.300000 0.333295 6.700180 146.114137  
0.310000 0.351852 6.806213 146.120377  
0.320000 0.393327 7.536532 151.003458  
0.330000 0.402199 7.526477 148.246052  
0.340000 0.384254 7.030609 130.790878  
0.350000 0.429470 7.502558 138.344309  
0.360000 0.433837 7.280145 132.600453  
0.370000 0.414554 6.762891 120.629039  
0.380000 0.474750 7.640144 130.308917  
0.390000 0.512709 8.047604 134.124959  
0.400000 0.512527 7.670665 126.261207  
0.410000 0.586137 8.345824 139.352288  
0.420000 0.646780 8.941955 145.474709  
0.430000 0.700122 9.678419 149.313399  
0.440000 0.744622 10.446174 153.492593  
0.450000 0.739443 10.486139 145.753142  
0.460000 0.738289 9.819304 137.380852  
0.470000 0.756467 9.958470 134.951444  
0.480000 0.773399 10.179065 133.896340  
0.490000 0.864370 10.883956 142.095908  
0.500000 0.938570 11.529671 149.879021  
0.510000 0.978875 11.929751 148.949022  
0.520000 0.969454 11.764948 142.442721  
0.530000 0.960640 11.590156 135.235105  
0.540000 0.994251 11.918791 135.749171  
0.550000 1.081362 12.875380 141.671616  
0.560000 1.161486 13.847820 146.904953  
0.570000 1.227784 14.184512 149.865128  
0.580000 1.252528 14.211823 148.290249  
0.590000 1.255842 13.749589 142.615298  
0.600000 1.229096 13.200294 136.314247  
0.610000 1.214101 12.465150 129.544379  
0.620000 1.228889 12.551304 126.874320  
0.630000 1.201309 12.440104 120.380103  
0.640000 1.175149 12.220579 113.990683  
0.650000 1.185242 12.292788 110.975687  
0.660000 1.211281 12.607641 110.554425  
0.670000 1.247076 12.600964 109.771431  
0.680000 1.231659 12.331022 105.562297  
0.690000 1.149749 12.116131 96.202196  
0.700000 1.163544 11.489979 94.536687  
0.710000 1.132404 10.485036 89.128878  
0.720000 1.078113 9.695677 82.396504  
0.730000 1.111486 9.750530 82.891354  
0.740000 1.113333 9.810273 81.006906  
0.750000 1.093142 9.993735 77.274417  
0.760000 1.057929 9.991530 72.466224  
0.770000 1.028526 9.813489 68.845057  
0.780000 1.016053 9.551255 66.544560  
0.790000 0.999753 9.098820 63.481060  
0.800000 0.972302 8.640003 60.344198  
0.810000 0.978454 8.344586 59.169931  
0.820000 0.979186 8.168583 57.963172  
0.830000 0.973415 8.112936 56.014025  
0.840000 0.948993 8.041707 53.561287  
0.850000 0.921227 7.904967 50.564757  
0.860000 0.887789 7.714369 47.792827  
0.870000 0.873909 7.531121 45.944494  
0.880000 0.890124 7.677137 45.606876  
0.890000 0.906171 7.921442 45.493699  
0.900000 0.924939 7.987271 45.291881  
0.910000 0.933542 7.798990 44.765382  
0.920000 0.948867 7.450035 44.462912  
0.930000 0.956018 7.256803 43.815407  
0.940000 0.945108 7.064080 42.463592  
0.950000 0.916851 6.793977 40.385466  
0.960000 0.914343 6.416951 39.385033  
0.970000 0.920190 6.373012 38.773997  
0.980000 0.910140 6.430252 37.579762  
0.990000 0.902601 6.423170 36.626097  
1.000000 0.905893 6.388695 36.019014  
1.010000 0.906763 6.274067 35.326398  
1.020000 0.898945 6.141205 34.363571  
1.030000 0.884453 6.182735 33.080111  
1.040000 0.860640 6.230855 31.593044  
1.050000 0.831684 6.163205 29.958761  
1.060000 0.830951 5.983338 29.445814  
1.070000 0.817166 5.762458 28.370218  
1.080000 0.793663 5.463820 27.095362  
1.090000 0.760679 5.208913 25.465600  
1.100000 0.722881 5.247870 23.800416  
1.110000 0.682390 5.241961 22.049632  
1.120000 0.643601 5.193810 20.418240  
1.130000 0.628001 5.116511 19.605833  
1.140000 0.614488 5.027650 18.846289  
1.150000 0.600126 4.942025 18.086221  
1.160000 0.611871 4.867287 18.052100  
1.170000 0.642085 4.804755 18.615211  
1.180000 0.669390 4.753292 19.142679  
1.190000 0.696433 4.712182 19.580818  
1.200000 0.719244 4.680857 19.879742  
1.210000 0.736696 4.657637 20.037058  
1.220000 0.752184 4.641130 20.143225  
1.230000 0.762062 4.633878 20.074281  
1.240000 0.765713 4.643765 19.846617  
1.250000 0.769060 4.680068 19.614870  
1.260000 0.767053 4.746353 19.256404  
1.270000 0.761993 4.835616 18.817439  
1.280000 0.750568 4.930692 18.251700  
1.290000 0.731023 5.008788 17.481891  
1.300000 0.731170 5.048006 17.126997  
1.310000 0.762984 5.056939 17.730753  
1.320000 0.794001 5.058447 18.175842  
1.330000 0.820118 5.057761 18.440900  
1.340000 0.837750 4.993882 18.563890  
1.350000 0.850738 4.897902 18.550279  
1.360000 0.858084 4.750368 18.444887  
1.370000 0.861003 4.559622 18.239207  
1.380000 0.859217 4.563772 17.948610  
1.390000 0.850187 4.640018 17.516922  
1.400000 0.837944 4.715528 17.039763  
1.410000 0.819290 4.756632 16.437414  
1.420000 0.794893 4.763210 15.737223  
