NGANo: csz030-A11923-NS 
Zeta: 0.050000 
Ds5-95: 145.020000 
Comments:  
Period, SD, SV, SA
0.010000 0.000284 0.011660 112.028618  
0.020000 0.001171 0.055537 115.714019  
0.030000 0.002651 0.116078 116.002213  
0.040000 0.004697 0.181063 116.136615  
0.050000 0.007206 0.313006 113.455249  
0.060000 0.010792 0.415304 117.762733  
0.070000 0.014408 0.474053 116.005922  
0.080000 0.019055 0.788916 117.256440  
0.090000 0.025759 0.816149 126.117549  
0.100000 0.032442 1.056508 127.806319  
0.110000 0.043125 1.514622 139.975704  
0.120000 0.058974 2.112396 158.791349  
0.130000 0.060762 2.107923 142.150900  
0.140000 0.073149 1.921357 146.923463  
0.150000 0.084603 2.393988 148.364218  
0.160000 0.089871 2.590056 137.410269  
0.170000 0.111363 3.095023 152.495607  
0.180000 0.129090 3.668437 156.245083  
0.190000 0.162522 4.553385 180.981360  
0.200000 0.180115 5.115298 179.451591  
0.210000 0.220945 5.352567 195.907247  
0.220000 0.246073 5.877647 201.003113  
0.230000 0.279935 6.361853 212.082192  
0.240000 0.298497 6.834962 208.593528  
0.250000 0.306494 6.368540 193.833024  
0.260000 0.407616 7.847633 239.950753  
0.270000 0.542155 10.640903 292.034762  
0.280000 0.616072 12.164552 307.301353  
0.290000 0.623079 12.116277 295.855763  
0.300000 0.602017 10.881733 266.318285  
0.310000 0.569655 10.028873 234.123145  
0.320000 0.579210 9.797524 223.517702  
0.330000 0.585533 9.474714 212.916128  
0.340000 0.614362 10.084387 210.351011  
0.350000 0.651620 10.823748 211.252990  
0.360000 0.644126 10.473872 197.161427  
0.370000 0.704853 11.703664 202.178692  
0.380000 0.726842 12.005284 197.793896  
0.390000 0.744208 12.152881 195.702494  
0.400000 0.784670 12.656659 193.673282  
0.410000 0.789208 12.476362 187.317851  
0.420000 0.789933 11.966523 177.330590  
0.430000 0.777052 11.414061 166.058988  
0.440000 0.767272 11.298971 157.805061  
0.450000 0.858898 11.103081 169.599632  
0.460000 0.960161 11.372056 180.547380  
0.470000 0.995457 12.040443 178.232793  
0.480000 0.989257 12.075260 169.587066  
0.490000 1.119016 11.630760 184.088372  
0.500000 1.247223 12.312647 197.207058  
0.510000 1.373165 13.513882 209.574115  
0.520000 1.481343 14.365401 217.461565  
0.530000 1.536695 14.497080 216.671269  
0.540000 1.529539 13.887635 207.563633  
0.550000 1.481091 14.203059 194.267345  
0.560000 1.478357 16.057541 186.016545  
0.570000 1.642379 17.450415 200.425580  
0.580000 1.759760 18.270873 208.287883  
0.590000 1.807546 17.904295 206.822816  
0.600000 1.804703 16.848464 198.545179  
0.610000 1.774905 16.051135 188.961493  
0.620000 1.713117 16.025220 177.738907  
0.630000 1.620078 15.324227 161.870363  
0.640000 1.480111 14.253053 143.193575  
0.650000 1.415109 12.689715 132.272279  
0.660000 1.466658 11.547264 133.385905  
0.670000 1.508048 11.492753 133.114748  
0.680000 1.591237 11.702170 136.144886  
0.690000 1.652256 12.514219 137.487183  
0.700000 1.716393 13.067402 138.873210  
0.710000 1.844316 12.818183 145.083066  
0.720000 1.989378 12.147022 151.942993  
0.730000 2.123189 12.733582 157.510362  
0.740000 2.231691 13.511685 161.499270  
0.750000 2.326881 14.245901 163.537384  
0.760000 2.421445 14.822878 165.954301  
0.770000 2.542072 15.470514 169.865695  
0.780000 2.696273 16.120250 175.310268  
0.790000 2.863024 16.915619 181.675856  
0.800000 3.036847 17.584995 187.558288  
0.810000 3.197095 18.532770 192.743117  
0.820000 3.340117 19.331574 196.590613  
0.830000 3.466176 19.860511 199.287531  
0.840000 3.588588 20.693106 201.266808  
0.850000 3.708731 21.377758 203.058605  
0.860000 3.812601 21.552486 204.247221  
0.870000 3.919315 22.182236 205.237326  
0.880000 4.115134 23.660951 210.531762  
0.890000 4.249138 24.628791 212.490301  
0.900000 4.332940 25.225672 211.956958  
0.910000 4.382844 25.514135 209.897943  
0.920000 4.428902 25.743260 207.191419  
0.930000 4.480339 25.888350 205.288206  
0.940000 4.531227 26.035112 203.332150  
0.950000 4.611589 26.187577 202.197300  
0.960000 4.771605 26.189540 204.793224  
0.970000 4.971147 26.166483 209.074007  
0.980000 5.207699 26.076962 214.684813  
0.990000 5.463715 26.469411 220.579193  
1.000000 5.715613 27.438913 226.395583  
1.010000 5.974901 28.328302 231.835763  
1.020000 6.215949 29.165554 236.562083  
1.030000 6.461034 29.945790 241.138533  
1.040000 6.708689 30.836809 245.463631  
1.050000 6.984426 31.902727 250.961216  
1.060000 7.322486 33.296703 258.065113  
1.070000 7.713379 35.036984 266.672516  
