NGANo: csz007-A11923-NS 
Zeta: 0.050000 
Ds5-95: 137.320000 
Comments:  
Period, SD, SV, SA
0.010000 0.000164 0.013023 64.462064  
0.020000 0.000699 0.042059 69.408498  
0.030000 0.001765 0.098218 77.963797  
0.040000 0.003051 0.146658 73.921051  
0.050000 0.004790 0.194221 75.648872  
0.060000 0.007313 0.268795 79.806007  
0.070000 0.010130 0.352795 81.527403  
0.080000 0.014196 0.472021 87.132472  
0.090000 0.021427 0.802197 106.314380  
0.100000 0.025008 1.086429 96.925164  
0.110000 0.033013 1.224251 110.124517  
0.120000 0.041701 1.672434 114.994294  
0.130000 0.046427 1.877167 107.162728  
0.140000 0.058742 2.245860 122.020575  
0.150000 0.070705 2.696158 127.200064  
0.160000 0.076115 2.519358 119.416946  
0.170000 0.099704 2.862915 138.591408  
0.180000 0.126642 3.927160 152.036796  
0.190000 0.145932 4.008994 161.060060  
0.200000 0.138775 4.183712 137.434147  
0.210000 0.169512 4.103314 150.217186  
0.220000 0.222214 5.297465 183.699858  
0.230000 0.264694 6.139917 195.425587  
0.240000 0.297446 6.708213 207.104806  
0.250000 0.325176 7.234128 204.080102  
0.260000 0.334319 7.412575 199.276442  
0.270000 0.319062 6.703689 172.716257  
0.280000 0.302487 6.372686 153.697776  
0.290000 0.304018 6.302885 145.121986  
0.300000 0.314303 6.297331 139.120368  
0.310000 0.397677 7.695904 165.165532  
0.320000 0.495874 9.341968 192.699265  
0.330000 0.548773 9.356617 200.692625  
0.340000 0.532252 9.181257 184.031306  
0.350000 0.532556 9.180275 171.231050  
0.360000 0.515857 8.913912 158.354745  
0.370000 0.578656 9.655199 167.820600  
0.380000 0.720127 11.682931 199.110411  
0.390000 0.878016 14.032873 229.788393  
0.400000 0.947181 14.556090 235.240873  
0.410000 0.907126 13.285001 212.196392  
0.420000 0.884771 12.659626 198.898620  
0.430000 0.938252 13.006120 202.756075  
0.440000 1.017412 13.593298 206.728156  
0.450000 1.090635 14.735739 215.148004  
0.460000 1.169696 15.748987 219.744785  
0.470000 1.233401 16.172899 221.535319  
0.480000 1.266201 16.301261 216.726716  
0.490000 1.271485 16.107867 210.068273  
0.500000 1.232683 15.510700 197.270019  
0.510000 1.153047 14.506914 176.022139  
0.520000 1.041505 13.323543 152.542553  
0.530000 0.958285 12.179130 134.991675  
0.540000 0.923776 11.650865 126.033821  
0.550000 0.936148 11.822530 123.287757  
0.560000 0.971018 12.318395 122.470011  
0.570000 0.980278 12.577117 119.887157  
0.580000 1.004911 12.262045 118.759931  
0.590000 0.998352 11.490746 114.018021  
0.600000 0.932033 10.725194 102.849187  
0.610000 0.853439 9.934735 91.779974  
0.620000 0.820806 8.951280 85.102339  
0.630000 0.849905 8.956850 85.039481  
0.640000 0.862378 8.744123 83.432882  
0.650000 0.850767 8.286709 80.408465  
0.660000 0.938219 8.549786 85.321209  
0.670000 1.043341 9.321797 92.385316  
0.680000 1.140054 10.321461 97.559134  
0.690000 1.193911 10.997258 99.221056  
0.700000 1.204137 11.104006 97.484463  
0.710000 1.191984 11.056144 94.035496  
0.720000 1.180173 11.236058 90.378016  
0.730000 1.161328 11.390835 86.289660  
0.740000 1.121844 11.306680 80.990968  
0.750000 1.063840 10.959176 74.898838  
0.760000 1.087741 10.395831 74.962203  
0.770000 1.127104 9.801284 75.435998  
0.780000 1.134465 9.780153 74.315780  
0.790000 1.116309 10.004186 70.867777  
0.800000 1.072034 9.966010 66.995394  
0.810000 1.027734 9.755917 62.382696  
0.820000 1.050830 9.467444 61.932840  
0.830000 1.095321 9.203118 63.158389  
0.840000 1.142004 9.033285 64.109004  
0.850000 1.187981 8.941202 65.366936  
0.860000 1.244764 8.932130 66.661615  
0.870000 1.292614 8.995493 67.808848  
0.880000 1.320664 9.094150 67.776439  
0.890000 1.325976 9.155870 66.291051  
0.900000 1.302724 9.095226 63.821778  
0.910000 1.276705 8.958193 61.197986  
